,Metro Area,I,U,K,GDP,POP,FIPS,Type
0,"San Jose-Sunnyvale-Santa Clara, CA",56898.0,1153199.0,10467.0,289710772,1992674,41940,Metropolitan Statistical Area
1,"New York-Newark-Jersey City, NY-NJ-PA",24461.0,319407.0,5514.0,1508145135,19322607,35620,Metropolitan Statistical Area
2,"Boston-Cambridge-Newton, MA-NH",21949.0,15964.0,4061.5,399360729,4841772,14460,Metropolitan Statistical Area
3,"Seattle-Tacoma-Bellevue, WA",28912.0,1365908.0,4224.0,332835662,3885579,42660,Metropolitan Statistical Area
4,"Los Angeles-Long Beach-Anaheim, CA",12938.0,20563.0,4658.0,912491020,13278000,31080,Metropolitan Statistical Area
5,"Detroit-Warren-Dearborn, MI",15402.0,2748.0,3352.5,233241705,4321593,19820,Metropolitan Statistical Area
6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10051.0,2184399.0,1497.0,388791070,6078522,37980,Metropolitan Statistical Area
7,"Chicago-Naperville-Elgin, IL-IN-WI",11612.0,18690.0,2345.0,600421994,9514113,16980,Metropolitan Statistical Area
8,"Minneapolis-St. Paul-Bloomington, MN-WI",6434.0,927656.0,2041.8333329999998,231078542,3575699,33460,Metropolitan Statistical Area
9,"Portland-Vancouver-Hillsboro, OR-WA",7369.0,2668.0,1759.0,143680585,2454815,38900,Metropolitan Statistical Area
10,"Houston-The Woodlands-Sugar Land, TX",4313.0,1502.0,1154.5,432329249,6900090,26420,Metropolitan Statistical Area
11,"Dallas-Fort Worth-Arlington, TX",7007.0,809898.0,1722.016667,451414779,7337097,19100,Metropolitan Statistical Area
12,"St. Louis, MO-IL",4170.0,840492.0,719.25,147633364,2805758,41180,Metropolitan Statistical Area
13,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4921.0,1564976.0,1809.8333329999998,471918848,6211341,47900,Metropolitan Statistical Area
14,"Norwich-New London, CT",4069.0,2519.0,103.0,16914681,267419,35980,Metropolitan Statistical Area
15,"Indianapolis-Carmel-Anderson, IN",4167.0,852.0,515.0,122143721,2027584,26900,Metropolitan Statistical Area
16,"Cincinnati, OH-KY-IN",3574.0,,730.5,122867631,2202558,17140,Metropolitan Statistical Area
17,"Baltimore-Columbia-Towson, MD",3042.0,1849.0,600.1666666,178407243,2798707,12580,Metropolitan Statistical Area
18,"Durham-Chapel Hill, NC",4036.0,3721.0,684.5,46804056,625678,20500,Metropolitan Statistical Area
19,"Oxnard-Thousand Oaks-Ventura, CA",2032.0,1942.0,395.0,52776068,849044,37100,Metropolitan Statistical Area
20,"Kansas City, MO-KS",2288.0,26019.0,461.5,117992341,2127203,28140,Metropolitan Statistical Area
21,"Salt Lake City, UT",1106.0,380295.0,414.0,79689409,1204205,41620,Metropolitan Statistical Area
22,"Denver-Aurora-Lakewood, CO",2134.0,661.0,947.5000001,187126660,2891776,19740,Metropolitan Statistical Area
23,"Columbus, OH",2167.0,864732.0,356.9999999,112512486,2082581,18140,Metropolitan Statistical Area
24,"Bridgeport-Stamford-Norwalk, CT",1590.0,9889.0,425.0,77609152,943038,14860,Metropolitan Statistical Area
25,"Charlotte-Concord-Gastonia, NC-SC",1641.0,2255.0,437.5,143835956,2550373,16740,Metropolitan Statistical Area
26,"Madison, WI",1642.0,1193413.0,295.5,45492200,655250,31540,Metropolitan Statistical Area
27,"Pittsburgh, PA",1538.0,1285721.0,676.0,134322913,2329004,38300,Metropolitan Statistical Area
28,"Manchester-Nashua, NH",858.0,,295.0,24782415,413204,31700,Metropolitan Statistical Area
29,"Peoria, IL",557.0,1839.0,227.0,22012933,406913,37900,Metropolitan Statistical Area
30,"Boise City, ID",1597.0,696.0,602.0,29709413,709682,14260,Metropolitan Statistical Area
31,"Albany-Schenectady-Troy, NY",1146.0,288666.0,1486.0,52128025,882158,10580,Metropolitan Statistical Area
32,"Cleveland-Elyria, OH",1380.0,367.0,559.0,117136194,2057238,17460,Metropolitan Statistical Area
33,"Boulder, CO",1272.0,499389.0,505.5,24607654,322441,14500,Metropolitan Statistical Area
34,"Rochester, NY",1042.0,408265.0,483.0,56587691,1071962,40380,Metropolitan Statistical Area
35,"Tucson, AZ",1267.0,622200.0,493.0,38636977,1026391,46060,Metropolitan Statistical Area
36,"Tampa-St. Petersburg-Clearwater, FL",1281.0,567749.0,453.0,137030695,3106922,45300,Metropolitan Statistical Area
37,"Palm Bay-Melbourne-Titusville, FL",989.0,18180.0,166.0,22465459,587769,37340,Metropolitan Statistical Area
38,"Providence-Warwick, RI-MA",1451.0,3677.0,328.0,76611155,1616614,39300,Metropolitan Statistical Area
39,"Huntsville, AL",1252.0,127040.0,151.0,24113355,455892,26620,Metropolitan Statistical Area
40,"Worcester, MA-CT",940.0,1901.0,531.5,44399035,942147,49340,Metropolitan Statistical Area
41,"Riverside-San Bernardino-Ontario, CA",820.0,201109.0,367.0,159582093,4565909,40140,Metropolitan Statistical Area
42,"Cedar Rapids, IA",903.0,546.0,142.0,16790507,270653,16300,Metropolitan Statistical Area
43,"Orlando-Kissimmee-Sanford, FL",908.0,,369.0,119246663,2517777,36740,Metropolitan Statistical Area
44,"Bloomington, IL",611.0,0.0,162.0,11826318,172754,14010,Metropolitan Statistical Area
45,"Lancaster, PA",531.0,673.0,148.5,25768354,541332,29540,Metropolitan Statistical Area
46,"Ogden-Clearfield, UT",917.0,907.0,126.0,25098089,664040,36260,Metropolitan Statistical Area
47,"Akron, OH",747.0,102545.0,220.5,32374943,703987,10420,Metropolitan Statistical Area
